"regione","codice_ateco","descrizione_ateco","numero_imprese"
"TRENTINO-ALTO ADIGE","S","S Altre attivita' di servizi","3701"
"TRENTINO-ALTO ADIGE","T","T Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze","0"
"TRENTINO-ALTO ADIGE","U","U Organizzazioni ed organismi extraterritoriali","0"
"TRENTINO-ALTO ADIGE","X","X Imprese non classificate","38"
"UMBRIA","A","A Agricoltura, silvicoltura e pesca","16346"
"UMBRIA","B","B Estrazione di minerali da cave e miniere","45"
"UMBRIA","C","C Attivita' manifatturiere","7352"
"UMBRIA","D","D Fornitura di energia elettrica, gas, vapore e aria condizionata","299"
"UMBRIA","E","E Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento","128"
"UMBRIA","F","F Costruzioni","10909"
"UMBRIA","G","G Gommercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","19327"
"UMBRIA","H","H Trasporto e magazzinaggio","1890"
"UMBRIA","I","I Attivita' dei servizi di alloggio e di ristorazione","5612"
"UMBRIA","J","J Servizi di informazione e comunicazione","1713"
"UMBRIA","K","K Attivita' finanziarie e assicurative","1934"
"UMBRIA","L","L Attivita' immobiliari","3574"
"UMBRIA","M","M Attivita' professionali, scientifiche e tecniche","2626"
"UMBRIA","N","N Noleggio, agenzie di viaggio, servizi di supporto alle imprese","2511"
"UMBRIA","O","O Amministrazione pubblica e difesa, assicurazione sociale obbligatoria","1"
"UMBRIA","P","P Istruzione","416"
"UMBRIA","Q","Q Sanita' e assistenza sociale","567"
"UMBRIA","R","R Attivita' artistiche, sportive, di intrattenimento e divertimento","984"
"UMBRIA","S","S Altre attivita' di servizi","3892"
"UMBRIA","T","T Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze","0"
"UMBRIA","U","U Organizzazioni ed organismi extraterritoriali","0"
"UMBRIA","X","X Imprese non classificate","106"
"VALLE D'AOSTA","A","A Agricoltura, silvicoltura e pesca","1457"
"VALLE D'AOSTA","B","B Estrazione di minerali da cave e miniere","10"
"VALLE D'AOSTA","C","C Attivita' manifatturiere","736"
"VALLE D'AOSTA","D","D Fornitura di energia elettrica, gas, vapore e aria condizionata","86"
"VALLE D'AOSTA","E","E Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento","23"
"VALLE D'AOSTA","F","F Costruzioni","2285"
"VALLE D'AOSTA","G","G Gommercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","1884"
"VALLE D'AOSTA","H","H Trasporto e magazzinaggio","208"
"VALLE D'AOSTA","I","I Attivita' dei servizi di alloggio e di ristorazione","1719"
"VALLE D'AOSTA","J","J Servizi di informazione e comunicazione","215"
"VALLE D'AOSTA","K","K Attivita' finanziarie e assicurative","221"
"VALLE D'AOSTA","L","L Attivita' immobiliari","520"
"VALLE D'AOSTA","M","M Attivita' professionali, scientifiche e tecniche","334"
"VALLE D'AOSTA","N","N Noleggio, agenzie di viaggio, servizi di supporto alle imprese","442"
"VALLE D'AOSTA","O","O Amministrazione pubblica e difesa, assicurazione sociale obbligatoria","1"
"VALLE D'AOSTA","P","P Istruzione","66"
"VALLE D'AOSTA","Q","Q Sanita' e assistenza sociale","64"
"VALLE D'AOSTA","R","R Attivita' artistiche, sportive, di intrattenimento e divertimento","145"
"VALLE D'AOSTA","S","S Altre attivita' di servizi","546"
"VALLE D'AOSTA","T","T Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze","0"
"VALLE D'AOSTA","U","U Organizzazioni ed organismi extraterritoriali","0"
"VALLE D'AOSTA","X","X Imprese non classificate","5"
"VENETO","A","A Agricoltura, silvicoltura e pesca","64710"
"VENETO","B","B Estrazione di minerali da cave e miniere","208"
"VENETO","C","C Attivita' manifatturiere","49009"
"VENETO","D","D Fornitura di energia elettrica, gas, vapore e aria condizionata","910"
"VENETO","E","E Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento","702"
"VENETO","F","F Costruzioni","62985"
"VENETO","G","G Gommercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","95835"
"VENETO","H","H Trasporto e magazzinaggio","12687"
"VENETO","I","I Attivita' dei servizi di alloggio e di ristorazione","30325"
"VENETO","J","J Servizi di informazione e comunicazione","9673"
"VENETO","K","K Attivita' finanziarie e assicurative","11261"
"VENETO","L","L Attivita' immobiliari","30602"
"VENETO","M","M Attivita' professionali, scientifiche e tecniche","18831"
"VENETO","N","N Noleggio, agenzie di viaggio, servizi di supporto alle imprese","13315"
"VENETO","O","O Amministrazione pubblica e difesa, assicurazione sociale obbligatoria","5"
"VENETO","P","P Istruzione","2191"
"VENETO","Q","Q Sanita' e assistenza sociale","2475"
"VENETO","R","R Attivita' artistiche, sportive, di intrattenimento e divertimento","4730"
"VENETO","S","S Altre attivita' di servizi","19155"
"VENETO","T","T Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze","1"
"VENETO","U","U Organizzazioni ed organismi extraterritoriali","0"
"VENETO","X","X Imprese non classificate","169"
